 श्रावकभूमिः (श्भ्_स्ह्: ५)	ཉན་ཐོས་ཀྱི་ནི་ས་ཞེས་བྱ་༎
 तदन्या त्वशुभता तदन्यस्यापि चरितस्य विशुद्धये । आलम्बनं ॥	དེ་ལས་གཞན་པའི་མི་སྡུག་པ་རྣམས་ནི་། དེ་ལས་གཞན་པའི་སྤྱད་པ་དག་རྣམ་པར་སྦྱོང་བའི་དམིགས་པ་ཡང་ཡིན་པར་རིག་པར་བྱའོ་༎
 तत्र मैत्री कतमा । यो मित्रपक्षे वा, अमित्रपक्षे वा । उदासीनपक्षे वा ।	དེ་ལ་བྱམས་པ་གང་ཞེ་ན་། མཛའ་བཤེས་ཀྱི་ཕྱོགས་དང་། དགྲ་བོའི་ཕྱོགས་དང་། ཐ་མལ་པའི་ཕྱོགས་ལ་མཉམ་པར་གཞག་པའི་ས་པའི་ཕན་པའི་བསམ་པ་ཉེ་བར་གཞག་སྟེ་།
 हिता[ध्या]शयमुपस्थाप्य मृदुमध्याधिमात्रस्य सुखस्योपसंहारायाधिमोक्षः । (श्भ्_स्ह्: २०८) समाहितभूमिकः ।	བདེ་བ་ཆུང་དུ་དང་། འབྲིང་དང་། ཆེན་པོ་ཉེ་བར་བསྒྲུབ་པའི་ཕྱིར་མོས་པ་གང་ཡིན་པའོ་༎
 तत्र योयं मित्रपक्षः । अमित्रपक्ष उदासीनपक्षश्च [। ] इदमालम्बनं ।	དེ་ལ་མཛའ་བཤེས་ཀྱི་ཕྱོགས་དང་། དགྲ་བོའི་ཕྱོགས་དང་། ཐ་མལ་པའི་ཕྱོགས་གང་ཡིན་པ་དེ་ནི་དམིགས་པ་ཡིན་ནོ་༎
 तत्र यो हिताध्याशयः, सुखोपसंहाराय चाधिमोक्षः समाहितभूमिकः अयमालम्बक इति (। ) यच्चालम्बनं ।	དེ་ལ་མཉམ་པར་གཞག་པའི་ས་པའི་ཕན་པའི་བསམ་པ་དང་། བདེ་བ་ཉེ་བར་བསྒྲུབ་བའི་ཕྱིར་མོས་པ་གང་ཡིན་པའོ་༎
 यश्चालम्बकस्तदेकत्यमभिसंक्षिप्य मैत्रीत्युच्यते ।	དམིགས་པར་བྱེད་པ་ཡིན་ཏེ་། དེ་ལྟར་ན་དམིགས་པ་གང་ཡིན་པ་དེ་དང་། དམིགས་པར་བྱེད་པ་གང་ཡིན་པ་དེ་དག་གཅིག་ཏུ་བསྡུས་པ་ནི་བྱམས་པ་ཞེས་བྱའོ་༎
 तत्र यत्तावदाह मैत्रीसहगतेन चित्तेनेत्यनेन त्रिषु पक्षेषु मित्रपक्षे,	དེ་ལ་བྱམས་པ་དང་ལྡན་པའི་སེམས་ཞེས་གང་གསུངས་པ་དེ་ནི་། རེ་ཞིག་ཕྱོགས་གསུམ་པོ་མཛའ་བོའི་ཕྱོགས་དང་། དགྲ་བོའི་ཕྱོགས་དང་། ཐ་མལ་པའི་ཕྱོགས་དག་ལ་ཕན་པའི་ལྷག་པའི་བསམ་པ་བསྟན་ཏོ་༎ ཁོ་ན་མེད་པ་།
 अमित्र पक्षे,	འགྲན་ཟླ་མེད་པ་།
 उदासीनपक्षे हितध्याशय आख्यातः । यत्पुनराह । अवैरेणासम्पन्नेनाव्याबाधेनेत्यनेन तस्यैव हिताध्याशयस्य त्रिविधं लक्षणमाख्यातं ॥	གནོད་པ་མེད་པ་ཞེས་གང་གསུངས་པ་དེས་ན་ཕན་༄༨༡བ་པའི་ལྷག་པའི་བསམ་པ་དེ་ཉིད་ཀྱི་མཚན་ཉིད་རྣམ་པ་གསུམ་བསྟན་ཏེ་།
 तत्रावैरतया हिताध्याशयः सा पुनरवैरता द्वाभ्यां पदाभ्यामाख्याता(ः) ।	དེ་ལ་ཁོ་ན་མེད་པས་ནི་ཕན་པའི་ལྷག་པའི་བསམ་པ་ཡིན་ཏེ་། དེ་ཡང་ཚིག་འོག་མ་གཉིས་པོ་འགྲན་ཟླ་མེད་པ་དང་། གནོད་པ་མེད་པ་ལ་ཞེས་བྱ་བ་དག་གིས་རྣམ་པར་བཤད་དོ་༎
 असमर्थतया अव्याबाधत[या च] तत्राप्रत्यनीकभावस्थानार्थेनासमर्थता ।	དེ་ལ་ཕས་ཀྱི་དགའི་དངོས་པོར་གནས་པ་མེད་པའི་དོན་གྱིས་ནི་འགྲན་ཟླ་མེད་པ་ཉིད་ཡིན་ནོ་༎ 
 अपकाराविषष्टनार्थेन (श्भ्_स्ह् २०९) अव्याबाध्यता (अव्याबाधता) ।	གནོད་པ་བྱེད་པ་རྣམ་པར་སྤྱོད་པ་མེད་པའི་དོན་གྱིས་ནི་གནོད་པ་མེད་པ་ཉིད་ནོ་༎ 
 यत्पुनराह ।	ཡིན་ནོ་༎ 
 विपुलेन महद्गतेन प्रमाणेनेत्यनेन मृदुमध्याधिमात्रस्य सुखस्योपसंहार आख्यातः । कामावचरस्य, प्रथमद्वितीयध्यानभूमिकस्य वा, तृतीयध्यानभूमिकस्य वा [। ] यत्पुनराह । अधिमुच्यस्यानि र्वो( )	ཡངས་པ་དང་རྒྱ་ཆེན་པོར་གྱུར་པ་དང་། ཚད་མེད་པ་ཞེས་གང་གསུངས་པ་དེས་ནི་འདོད་པ་ན་སྤྱོད་པ་དང་། བསམ་གཏན་དང་པོ་དང་། གཉིས་པའི་ས་བ་དང་། བསམ་གཏན་གསུམ་པའི་ས་པའི་བདེ་བ་ཉེ་བར་བསྒྲུབ་པ་ཆུང་ངུ་དང་། འབྲིང་དང་། ཆེན་པོ་བསྟན་ཏོ་༎
 पसम्पद्य विहरतीत्यनेन सुखोपसंहाराधिमोक्षः । समाहितभूमिक आख्यातः ।	མོས་ཏེ་ཁྱབ་པར་བྱས་ནས་བསྒྲུབས་ཏེ་གནས་སོ་ཞེས་གང་གསུངས་པ་དེ་ས་ནི་མཉམ་པར་གཞག་པའི་ས་པའི་བདེ་བ་ཉེ་བར་བསྒྲུབ་པའི་ཕྱིར་མོས་པ་བསྟན་ཏེ་།
 स पुनरेष सुखोपसंहारो हिताध्याशयपरिगृहीतः । आधिमोक्षिकः । मनस्कारानुगतः । अदुःखासुखिते मित्रपक्षे, अमित्रपक्षे, उदासीनपक्षे, सुखकामे वेदितव्यः । यस्तु दुःखितो वा,	བདེ་བ་ཉེ་བར་བསྒྲུབ་པ་དེ་ཡང་ཕན་པའི་ལྷག་པའི་བསམ་པས་ཡོངས་སུ་ཟིན་པ་དང་། མོས་པ་ཡིད་ལ་བྱེད་པ་དང་ལྡན་པ་དང་། སྡུག་བསྔལ་ཡང་མ་ཡིན་བདེ་བ་ཡང་མ་ཡིན་པའི་མཛའ་བཤེས་ཀྱི་ཕྱོགས་དང་། དགྲ་བོའི་ཕྱོགས་དང་། ཐ་མལ་པའི་ཕྱོགས་ལ་བདེ་བར་འདོད་པ་ཡིན་པར་རིག་པར་བྱའོ་༎
 अदुःखितो वा पुनर्मित्रपक्षः । अमित्रपक्ष उदासीनपक्षो वा [। ] तत्र यो दुःखितः स करुणाया आलम्बनं ।	སྡུག་བསྔལ་བ་དང་། བདེ་བར་གྱུར་པའི་མཛའ་བཤེས་ཀྱི་ཕྱོགས་དང་། དགྲ་བོའི་ཕྱོགས་དང་། ཐ་མལ་པའི་ཕྱོགས་གང་ཡིན་པ་དེ་དག་ལས་སྡུག་བསྔལ་བར་གྱུར་པ་གང་ཡིན་པ་དེ་ནི་། སྙིང་རྗེའི་དམིགས་པ་ཡིན་ནོ་༎
